LTime, LSensorID, LAccelX, LAccelY, LAccelZ, LGyroX, LGyroY, LGyroZ,RTime, RSensorID, RAccelX, RAccelY, RAccelZ, RGyroX, RGyroY, RGyroZ
2016-05-03 20:51:51 +0000,LC,1056,12952,9216,4742,-3259,220,2016-05-03 20:43:27 +0000,RC,16188,3676,-6636,2942,1340,2888
2016-05-03 20:51:51 +0000,LC,192,16216,9504,661,-706,830,2016-05-03 20:43:27 +0000,RC,20400,1960,-4616,-1326,1648,2037
2016-05-03 20:51:52 +0000,LC,-400,14368,9224,-2379,-996,-538,2016-05-03 20:43:27 +0000,RC,19808,1388,-5624,1296,-2751,-865
2016-05-03 20:51:52 +0000,LC,608,13908,9932,-740,750,1141,2016-05-03 20:43:27 +0000,RC,18492,3604,-5180,-1209,-291,-7316
2016-05-03 20:51:52 +0000,LC,-432,12344,6596,493,1061,-145,2016-05-03 20:43:27 +0000,RC,16840,6176,-3584,-4498,6117,-14417
2016-05-03 20:51:52 +0000,LC,476,13708,9104,793,-667,1332,2016-05-03 20:43:27 +0000,RC,12616,10696,-1920,-5079,8921,-19435
2016-05-03 20:51:52 +0000,LC,-212,15520,9156,241,1831,781,2016-05-03 20:43:27 +0000,RC,2664,7788,944,-6891,4878,-20726
2016-05-03 20:51:52 +0000,LC,-308,12344,7400,2324,690,75,2016-05-03 20:43:28 +0000,RC,2372,9836,2540,-1551,4456,-4889
2016-05-03 20:51:53 +0000,LC,-520,10800,6128,405,1033,-123,2016-05-03 20:43:28 +0000,RC,3884,17908,4268,-623,-1153,1016
2016-05-03 20:51:53 +0000,LC,604,8912,3132,-2086,104,239,2016-05-03 20:43:28 +0000,RC,3596,15132,4592,-875,-2818,2870
2016-05-03 20:51:53 +0000,LC,-1268,16240,8856,1730,-698,1064,2016-05-03 20:43:28 +0000,RC,7200,13928,4248,-26,-1603,5041
2016-05-03 20:51:53 +0000,LC,-664,12100,7092,-3005,599,1243,2016-05-03 20:43:28 +0000,RC,7804,14288,3512,1268,-1628,7394
2016-05-03 20:51:53 +0000,LC,-1220,14472,6264,8349,-4787,-1378,2016-05-03 20:43:28 +0000,RC,6184,12820,4504,3696,-2001,8171
2016-05-03 20:51:53 +0000,LC,284,13084,5288,-958,1812,1132,2016-05-03 20:43:28 +0000,RC,6212,9640,1364,5482,-1122,11300
2016-05-03 20:51:53 +0000,LC,408,12968,5868,-3501,-2342,567,2016-05-03 20:43:29 +0000,RC,10540,7864,2236,3490,-6076,10364
2016-05-03 20:51:54 +0000,LC,-1560,12228,5984,-2820,1356,-387,2016-05-03 20:43:29 +0000,RC,13436,5288,-2168,4591,-2065,8719
2016-05-03 20:51:54 +0000,LC,20,12320,8220,-2693,-3325,363,2016-05-03 20:43:29 +0000,RC,18160,5556,-5168,1380,-2345,6654
2016-05-03 20:51:54 +0000,LC,2336,11592,9948,-995,1862,-313,2016-05-03 20:43:29 +0000,RC,20844,1072,-4568,-285,645,681
2016-05-03 20:51:54 +0000,LC,1204,12892,8772,904,-2299,61,2016-05-03 20:43:29 +0000,RC,14816,3224,-4736,344,987,-1293
2016-05-03 20:51:54 +0000,LC,-736,13576,8712,1934,-2227,-1792,2016-05-03 20:43:29 +0000,RC,19552,4656,-3200,-2472,1742,-5181
2016-05-03 20:51:54 +0000,LC,-80,16220,8296,1129,-1573,-95,2016-05-03 20:43:30 +0000,RC,19372,5088,-5396,-1248,6080,-11280
2016-05-03 20:51:54 +0000,LC,392,16456,8408,-2232,-962,-306,2016-05-03 20:43:30 +0000,RC,15700,9944,-2140,-5386,5510,-16018
2016-05-03 20:51:55 +0000,LC,280,14616,8284,-2407,-1951,-1070,2016-05-03 20:43:30 +0000,RC,12280,13624,-3376,-7537,3495,-18855
2016-05-03 20:51:55 +0000,LC,-792,13388,8724,-1700,1219,833,2016-05-03 20:43:30 +0000,RC,1428,5596,1652,-4163,629,-13286
2016-05-03 20:51:55 +0000,LC,1240,12788,9220,-571,679,194,2016-05-03 20:43:30 +0000,RC,5260,15372,4128,-2807,-1467,154
2016-05-03 20:51:55 +0000,LC,-396,12300,9196,273,-227,1131,2016-05-03 20:43:30 +0000,RC,3016,15608,6076,-1058,-372,3862
2016-05-03 20:51:55 +0000,LC,184,14592,10048,2542,-1432,974,2016-05-03 20:43:30 +0000,RC,7456,14700,5176,-252,1056,2923
2016-05-03 20:51:55 +0000,LC,-108,12372,8192,2839,3899,1354,2016-05-03 20:43:31 +0000,RC,7208,13056,2848,772,-376,5870
2016-05-03 20:51:56 +0000,LC,604,10320,6272,-1085,2735,-126,2016-05-03 20:43:31 +0000,RC,8780,13052,1732,2055,-2654,8038
2016-05-03 20:51:56 +0000,LC,888,6060,6620,3276,164,-191,2016-05-03 20:43:31 +0000,RC,9596,14164,2796,3508,-6935,9935
2016-05-03 20:51:56 +0000,LC,-832,19920,7304,-284,536,3514,2016-05-03 20:43:31 +0000,RC,13488,14868,-1456,3989,-6423,11353
2016-05-03 20:51:56 +0000,LC,1576,12344,3528,-4468,948,-379,2016-05-03 20:43:31 +0000,RC,14708,8084,-3888,4152,-5570,12066
2016-05-03 20:51:56 +0000,LC,-700,14460,5788,885,-1227,-1796,2016-05-03 20:43:31 +0000,RC,16496,4912,-3312,3186,-6357,9496
2016-05-03 20:51:56 +0000,LC,812,12772,6796,952,-366,442,2016-05-03 20:43:31 +0000,RC,19192,2688,-5728,-817,3850,4243
2016-05-03 20:51:56 +0000,LC,868,9732,4700,-3108,1105,-456,2016-05-03 20:43:32 +0000,RC,23572,3112,-6548,251,-238,1410
